Name                           Version                               Vendor   Acceptance Level  Install Date
esx-update                     6.7.0-3.163.19195723                  VMware   VMwareCertified   2001-01-01
esx-xserver                    6.7.0-3.73.14320388                   VMware   VMwareCertified   2001-01-01
lsu-hp-hpsa-plugin             2.0.0-16vmw.670.1.28.10302608         VMware   VMwareCertified   2001-01-01
lsu-intel-vmd-plugin           1.0.0-2vmw.670.1.28.10302608          VMware   VMwareCertified   2001-01-01
lsu-lsi-drivers-plugin         1.0.0-1vmw.670.2.48.13006603          VMware   VMwareCertified   2001-01-01
lsu-lsi-lsi-mr3-plugin         1.0.0-13vmw.670.1.28.10302608         VMware   VMwareCertified   2001-01-01
lsu-lsi-lsi-msgpt3-plugin      1.0.0-9vmw.670.2.48.13006603          VMware   VMwareCertified   2001-01-01
lsu-lsi-megaraid-sas-plugin    1.0.0-9vmw.670.0.0.8169922            VMware   VMwareCertified   2001-01-01
lsu-lsi-mpt2sas-plugin         2.0.0-7vmw.670.0.0.8169922            VMware   VMwareCertified   2001-01-01
lsu-smartpqi-plugin            1.0.0-4vmw.670.3.159.18828794         VMware   VMwareCertified   2001-01-01
native-misc-drivers            6.7.0-3.89.15160138                   VMware   VMwareCertified   2001-01-01
rste                           2.0.2.0088-7vmw.670.0.0.8169922       VMware   VMwareCertified   2001-01-01
vmware-esx-esxcli-nvme-plugin  1.2.0.36-2vmw.670.3.116.16713306      VMware   VMwareCertified   2001-01-01
vsan                           6.7.0-3.163.19184739                  VMware   VMwareCertified   2001-01-01
vsanhealth                     6.7.0-3.163.19184740                  VMware   VMwareCertified   2001-01-01
tools-light                    11.3.5.18557794-18812553              VMware   VMwareCertified   2001-01-01
